ID,Date,Time,Temp,humidity,Noise,Light,CO,Volts
105,28/6/2015,19:36:47,32.1,62,39,7,4.17,7.41
105,28/6/2015,19:36:57,32.1,63,43,7,4.17,7.69
105,28/6/2015,19:37:07,32.1,63,40,7,4.17,7.7
105,28/6/2015,19:37:17,32.2,63,40,7,4.17,7.71
105,28/6/2015,19:37:27,32.1,63,39,7,4.17,7.71
105,28/6/2015,19:37:37,32.2,63,39,7,4.17,7.71
105,28/6/2015,19:37:47,32.2,63,40,7,4.17,7.71
105,28/6/2015,19:37:57,32.2,63,40,7,4.17,7.72
105,28/6/2015,19:38:07,32.2,63,40,7,4.17,7.72
105,28/6/2015,19:38:17,32.2,63,40,7,4.17,7.72
105,28/6/2015,19:38:27,32.2,63,40,7,1.07,7.71
105,28/6/2015,19:38:37,32.2,62,40,7,1.07,7.72
105,28/6/2015,19:38:47,32.3,62,40,7,1.07,7.72
105,28/6/2015,19:38:57,32.3,62,40,7,1.07,7.72
105,28/6/2015,19:39:07,32.3,62,40,7,1.07,7.72
105,28/6/2015,19:39:17,32.3,62,42,7,1.07,7.71
105,28/6/2015,19:39:27,32.3,62,40,7,1.07,7.71
105,28/6/2015,19:39:37,32.3,62,43,7,1.07,7.71
105,28/6/2015,19:39:47,32.3,62,48,7,1.07,7.71
105,28/6/2015,19:39:57,32.3,61,44,7,1.07,7.71
105,28/6/2015,19:40:07,32.3,61,44,7,1.07,7.71
105,28/6/2015,19:40:17,32.4,61,43,7,1.07,7.71
105,28/6/2015,19:40:27,32.4,61,41,7,1.07,7.71
105,28/6/2015,19:40:37,32.4,61,43,7,1.07,7.71
105,28/6/2015,19:40:47,32.4,61,39,7,1.07,7.71
105,28/6/2015,19:40:57,32.4,61,39,7,1.07,7.7
105,28/6/2015,19:41:07,32.4,61,42,7,1.07,7.7
105,28/6/2015,19:41:17,32.4,61,40,7,1.07,7.7
105,28/6/2015,19:41:27,32.4,61,42,7,1.07,7.7
105,28/6/2015,19:41:37,32.4,61,40,7,1.07,7.7
105,28/6/2015,19:41:47,32.4,61,40,7,1.07,7.7
105,28/6/2015,19:41:57,32.4,61,38,7,1.07,7.7
105,28/6/2015,19:42:07,32.4,61,40,7,1.07,7.7
105,28/6/2015,19:42:17,32.4,61,40,7,1.07,7.69
105,28/6/2015,19:42:27,32.4,61,40,7,1.07,7.69
105,28/6/2015,19:42:37,32.4,61,40,7,1.07,7.69
105,28/6/2015,19:42:47,32.4,61,39,7,1.07,7.69
105,28/6/2015,19:42:57,32.4,61,39,7,1.07,7.69
105,28/6/2015,19:43:07,32.4,61,39,7,1.07,7.69
105,28/6/2015,19:43:17,32.4,61,40,7,1.07,7.69
105,28/6/2015,19:43:27,32.4,61,40,7,1.07,7.69
105,28/6/2015,19:43:37,32.4,61,40,7,1.07,7.71
105,28/6/2015,19:43:47,32.4,61,42,7,1.07,7.42
105,28/6/2015,19:43:57,32.4,61,42,7,1.07,7.4
105,28/6/2015,19:44:07,32.4,61,41,7,1.07,7.39
105,28/6/2015,19:44:17,32.4,61,40,7,1.07,7.38
105,28/6/2015,19:44:27,32.4,61,42,7,1.07,7.36
105,28/6/2015,19:44:37,32.4,61,40,7,1.07,7.35
105,28/6/2015,19:44:47,32.4,61,42,7,1.07,7.31
105,28/6/2015,19:44:57,32.4,62,45,7,1.07,7.58
105,28/6/2015,19:45:07,32.4,62,42,7,1.07,7.59
105,28/6/2015,19:45:17,32.4,62,42,7,1.07,7.6
105,28/6/2015,19:45:27,32.4,62,42,7,1.07,7.6
105,28/6/2015,19:45:37,32.4,62,40,7,1.07,7.61
105,28/6/2015,19:45:47,32.4,62,40,7,1.07,7.61
105,28/6/2015,19:45:57,32.4,62,41,7,1.07,7.61
105,28/6/2015,19:46:07,32.4,62,43,7,1.07,7.61
105,28/6/2015,19:46:17,32.4,62,42,7,1.07,7.61
105,28/6/2015,19:46:27,32.5,62,42,7,0.53,7.61
105,28/6/2015,19:46:37,32.5,62,41,7,0.53,7.61
105,28/6/2015,19:46:47,32.5,62,40,7,0.53,7.61
105,28/6/2015,19:46:57,32.5,62,42,7,0.53,7.61
105,28/6/2015,19:47:07,32.5,62,41,7,0.53,7.61
105,28/6/2015,19:47:17,32.5,61,41,7,0.53,7.61
105,28/6/2015,19:47:27,32.5,61,41,7,0.53,7.61
105,28/6/2015,19:47:37,32.5,61,42,7,0.53,7.61
105,28/6/2015,19:47:47,32.5,61,41,7,0.53,7.61
105,28/6/2015,19:47:57,32.5,61,41,7,0.53,7.61
105,28/6/2015,19:48:07,32.5,61,41,7,0.53,7.61
105,28/6/2015,19:48:17,32.5,61,40,7,0.53,7.61
105,28/6/2015,19:48:27,32.5,61,40,7,0.53,7.61
105,28/6/2015,19:48:37,32.6,61,40,7,0.53,7.61
105,28/6/2015,19:48:47,32.5,61,41,7,0.53,7.6
105,28/6/2015,19:48:57,32.6,61,39,7,0.53,7.6
105,28/6/2015,19:49:07,32.5,61,41,7,0.53,7.6
105,28/6/2015,19:49:17,32.6,61,40,7,0.53,7.6
105,28/6/2015,19:49:27,32.6,61,39,7,0.53,7.6
105,28/6/2015,19:49:37,32.6,61,41,7,0.53,7.6
105,28/6/2015,19:49:47,32.5,61,40,7,0.53,7.6
105,28/6/2015,19:49:57,32.5,61,40,7,0.53,7.6
105,28/6/2015,19:50:07,32.6,61,40,7,0.53,7.6
105,28/6/2015,19:50:17,32.5,61,41,7,0.53,7.6
105,28/6/2015,19:50:27,32.5,61,40,7,0.53,7.6
105,28/6/2015,19:50:37,32.5,61,39,7,0.53,7.6
105,28/6/2015,19:50:47,32.5,61,40,7,0.53,7.59
105,28/6/2015,19:50:57,32.5,61,41,7,0.53,7.59
